Ulrike-Günther-Platz 145, 18410 Guben
Bärring 23, 11325 Ebern
Gebhard-Henke-Ring 67, 82825 Berlin
Rennerallee 8, 13062 Witzenhausen
Ivan-Rauch-Allee 4/6, 16846 Wesel
Inka-Albrecht-Platz 152, 95720 Ingolstadt
Detlef-Altmann-Platz 7, 94372 Rosenheim
Krögerplatz 1/2, 13763 Rehau
Meierstraße 20, 04986 Weimar
Krögerallee 366, 96788 Saarbrücken
Ahmet-Wild-Platz 5/3, 65402 Dinkelsbühl
Opitzweg 71, 86950 Güstrow
Wegnerring 6, 88705 Wunsiedel
Wolfgang-Klein-Allee 147, 74995 Hagenow
Mathias-Schütz-Straße 1, 43987 Schleiz
Moserweg 7, 39910 Tecklenburg
Kühnestr. 9, 02620 Ueckermünde
Edith-Heck-Weg 680, 32706 Wittstock
Pia-Wagner-Allee 959, 81368 Grimmen
Mehmet-Engelhardt-Gasse 817, 86884 Calw
Keilstraße 1, 53221 Bogen
Verena-Hofmann-Gasse 4/7, 89977 Saarbrücken
Straubring 736, 72318 Hohenstein-Ernstthal
Lindnerring 8/0, 29244 Wiedenbrück
Fleischerstr. 0, 98804 Bersenbrück
Gebhardtgasse 415, 48022 Wanzleben
Harry-Schüler-Platz 25, 95369 Berchtesgaden
Sina-Reimer-Platz 922, 94925 Bad Brückenau
Christa-Kremer-Straße 643, 48298 Olpe
Henkelstraße 294, 88496 Paderborn
Stumpfring 45, 78991 Herford
Vossweg 5, 63092 Zerbst
Ulrichstraße 0/8, 91452 Apolda
Paula-Schulte-Allee 84, 36010 Recklinghausen
Siegrid-Brückner-Weg 722, 60017 Badibling
Rose-Link-Weg 6/1, 65449 Staßfurt
Martha-Busse-Gasse 34, 52677 Gunzenhausen
Wintergasse 3, 04710 Bautzen
Straubplatz 24, 01953 Bautzen
Rothstraße 6/3, 09183 Eilenburg
Borngasse 4, 13089 Hünfeld
Jahnweg 3, 46423 Bad Mergentheim
Irmgard-Mayer-Ring 43, 32060 Cottbus
Hammerring 46, 20994 Kemnath
Münchweg 1, 37829 Füssen
Schäferplatz 71, 69607 Gadebusch
Hanna-Scharf-Weg 02, 24596 Weißenfels
Karl-Wilhelm-Löffler-Ring 9, 35357 Freital
Klugestraße 72, 57372 Havelberg
Pieperallee 3/1, 95527 Weimar
Marion-Heinrich-Allee 9/9, 97033 Rehau
Valentina-Niemann-Ring 48, 94111 Donaueschingen
Alfred-Mertens-Gasse 737, 49040 Calau
Pfeiferallee 9/5, 20137 Osterodem Harz
Breuerstr. 4, 75803 Säckingen
Annegret-Behrens-Weg 79, 45931 Quedlinburg
Beckerring 38, 82765 Regen
Huberplatz 6/1, 82646 Marktheidenfeld
Kesslergasse 7, 84021 Lüneburg
Diehlring 8, 44541 Freital
Noltestr. 8/8, 72894 Hildburghausen
Hendrik-Arnold-Ring 7/6, 32167 Tirschenreuth
Dagmar-Döring-Allee 94, 60150 Hainichen
Theo-Krebs-Platz 59, 50894 Zschopau
Roberto-Burkhardt-Allee 1, 70333 Pößneck
Schultzgasse 7, 08294 Berchtesgaden
Sigurd-Albrecht-Straße 4/2, 16097 Sömmerda
Reiterring 8/3, 66812 Pinneberg
Ulrich-Schumacher-Weg 7, 44556 Bayreuth
Ludger-Rothe-Platz 9/9, 28082 Beilngries
Jakob-Schröter-Weg 202, 44266 Biedenkopf
Felicitas-Böttcher-Gasse 331, 33682 Aachen
Sigurd-Franz-Allee 779, 91229 Gera
Straubstr. 3/5, 97293 Biedenkopf
Neuhausstraße 2, 48297 Eichstätt
Heide-Steffen-Weg 970, 48327 Staßfurt
Deckerallee 5/3, 96555 Monschau
Hempelring 9/6, 30679 Staffelstein
Schulteplatz 6, 75045 Günzburg
Maik-Richter-Weg 7, 65403 Hansestadttralsund
Ferdinand-Stock-Straße 415, 55953 Gerolzhofen
Sonntagplatz 1/2, 41886 Rockenhausen
Uwe-Weigel-Straße 59, 33579 Finsterwalde
Tina-Renner-Gasse 3, 72134 Miltenberg
Anita-Baur-Straße 9, 50834 Griesbach Rottal
Ida-Krug-Ring 94, 97181 Hettstedt
Christring 1, 39841 Helmstedt
Stefanie-Schröter-Allee 874, 79911 Fürstenwalde
Brunhild-Hansen-Platz 450, 61969 Wolfratshausen
Mollring 5, 85664 Havelberg
Rosa-Ulrich-Weg 9/2, 34723 Plauen
Ehrenfried-Münch-Straße 5/8, 04742 Miesbach
Auerweg 9/6, 45558 Bad Mergentheim
Jacqueline-Kunze-Ring 609, 02935 Hohenstein-Ernstthal
Emma-Reichel-Allee 046, 63533 Nördlingen
Jeannette-Blum-Weg 83, 34029 Bischofswerda
Vera-Wiese-Allee 0/2, 65369 Gera
Wildring 648, 84172 Viersen
Willibald-Groß-Ring 448, 16050 Viechtach
Angela-Wegener-Weg 984, 03058 Eichstätt
Rennerstraße 3, 58958 Eisenhüttenstadt
Beckgasse 400, 40445 Jülich
Tom-Kröger-Gasse 83, 83040 Hildesheim
Seifertplatz 5, 91651 Schwabmünchen
Wiedemannstraße 5, 83959 Seelow
Hansjörg-Löffler-Gasse 1/3, 09559 Iserlohn
Wilma-Weidner-Straße 314, 99147 Bremen
Franzplatz 689, 60801 Halberstadt
Doris-Zimmermann-Straße 0, 70462 Guben
Lucia-Völker-Weg 983, 08547 Sigmaringen
Hempelweg 97, 44868 Finsterwalde
Walter-Bergmann-Weg 9, 87479 Bad Kreuznach
Meinhard-Schade-Gasse 883, 41508 Dieburg
Menzelweg 37, 81269 Nürtingen
Bernhard-Schröter-Straße 9, 32171 Quedlinburg
Lehmannallee 8, 00066 Eisenhüttenstadt
Hans-Wilhelm-Lehmann-Straße 2/8, 85984 Schweinfurt
Glasergasse 2, 18214 Gifhorn
Wegnerstr. 2, 72580 Schwandorf
Hummelgasse 4/7, 52345 Havelberg
Heinzeplatz 885, 81747 Scheinfeld
Jörn-Stein-Allee 7, 59578 Wanzleben
Meinolf-Wenzel-Weg 8, 33767 Jüterbog
Mirko-Scherer-Platz 2, 31942 Malchin
Roland-Sander-Allee 97, 97633 Dinkelsbühl
Nikola-Meister-Ring 663, 86548 Anklam
Fatma-Schrader-Gasse 4, 45738 Paderborn
Burghard-Bode-Weg 2, 00759 Lemgo
Schefflerstraße 12, 25474 Bernburg
August-Stark-Weg 096, 40308 Passau
Linkring 173, 04488 Badalzungen
Maiallee 27, 62362 Dinkelsbühl
Hedi-Noll-Ring 3/5, 60498 Leipziger Land
Bachgasse 506, 59590 Miltenberg
Sofia-Link-Allee 8, 87109 Leipziger Land
Heldring 6/7, 01750 Husum
Benderweg 5/3, 55061 Bergzabern
Grossweg 662, 76062 Kitzingen
Antonie-Schulte-Straße 691, 43531 Schwandorf
Joachim-Pietsch-Platz 4, 79197 Rathenow
Mandy-Ullrich-Allee 9/9, 87947 Gera
Herbstweg 2/8, 37447 Bad Kissingen
Kerngasse 74, 97203 Günzburg
Behrensstraße 35, 99693 Beeskow
Bachstr. 2/1, 03569 Staffelstein
Schumannring 25, 47445 Neustrelitz
Lorenz-Keller-Ring 3/8, 62921 Soltau
Scholzallee 185, 85571 Leipziger Land
Heineallee 682, 36551 Ingolstadt
Margret-Hartwig-Ring 1, 12112 Lippstadt
Harald-Wiedemann-Weg 221, 96330 Cloppenburg
Madeleine-Klose-Gasse 01, 32129 Ebermannstadt
Moserstr. 1/1, 05423 Wurzen
Eugenie-Bode-Allee 44, 49787 Artern
Jens-Uwe-Herbst-Platz 61, 61591 Gera
Kühnstr. 3/4, 86469 Schwäbisch Gmünd
Frauke-Baier-Straße 27, 02838 Schmölln
Mayrstr. 10, 15007 Wanzleben
Wildstr. 4, 87587 Garmisch-Partenkirchen
Urbanstr. 743, 98811 Mühldorfm Inn
Hildebrandtring 764, 19046 Backnang
Frankestraße 3, 39357 Neuss
Bianca-Ackermann-Allee 94, 43757 Rathenow
Sina-Seidl-Weg 6, 17534 Kyritz
Hans-Falk-Gasse 277, 13888 Oranienburg
Denise-Schmitz-Allee 5, 25788 Meiningen
Kunzestr. 089, 13158 Wunsiedel
Thorsten-Mack-Straße 59, 83394 Peine
Rohdeplatz 32, 20425 Aurich
Sandra-Barth-Weg 75, 20715 Gifhorn
Cathrin-Riedel-Ring 449, 77901 Borken
Singerweg 2, 67191 Marktheidenfeld
Constanze-Fleischmann-Weg 1/0, 62159 Neuruppin
Irmgard-Steiner-Ring 2, 58575 Hagenow
Arnulf-Hahn-Allee 928, 81911 Bersenbrück
Bartelsallee 4/4, 68895 Finsterwalde
Lisa-Schindler-Ring 3, 67759 Zossen
Rappweg 16, 99656 Saulgau
Tatjana-Kraft-Gasse 7/4, 41440 Wittmund
Adamstr. 78, 93269 Dieburg
Rudolphstraße 7/1, 53792 Jessen
Rauschgasse 3/5, 64637 Stade
Albert-Klemm-Platz 648, 91532 Dinslaken
Dieter-Schlüter-Gasse 99, 00895 Forchheim
John-Kuhn-Weg 6/5, 64031 Seelow
Beyerstraße 55, 19365 Anklam
Freyweg 6/9, 84894 Darmstadt
Constanze-Wirth-Straße 1, 70549 Neubrandenburg
Brücknerstraße 2/8, 10330 Siegen
Regine-Römer-Weg 74, 07022 Ludwigslust
Hankeplatz 21, 05071 Hildesheim
Hermine-Reichert-Allee 5, 97231 Rathenow
Ibrahim-Bayer-Gasse 4/0, 56903 Roth
Reichertstraße 81, 00375 Siegen
Krugring 1/2, 90330 Moers
Giuseppe-Rieger-Gasse 183, 74969 Neustadtner Waldnaab
Dornweg 0/0, 02725 Lüdenscheid
Ewa-Stock-Ring 322, 93834 Miltenberg
Rolf-Dieter-Schwarz-Weg 1, 45744 Dinslaken
Lukas-Sauter-Gasse 6, 19252 Brandenburg
