12°52′N 7°34′W
36°38′N 101°46′E
38°35′N 28°43′W
42°52′N 74°37′E
52°19′N 104°18′E
28°28′N 16°15′W
24°34′N 81°47′W
43°12′N 71°32′W
60°10′N 24°56′E
40°39′N 22°54′E
77°51′S 166°40′W
41°43′N 44°47′E
51°56′N 4°29′E
33°27′S 70°40′W
26°49′S 65°13′W
30°30′N 47°49′E
36°08′N 5°21′W
20°10′S 28°35′E
7°29′N 134°36′E
41°00′N 71°40′E
8°34′N 16°05′E
18°26′N 64°37′W
38°09′S 144°21′E
39°32′N 119°49′W
33°03′S 71°37′W
29°53′S 31°03′E
81°36′N 16°40′W
34°00′N 81°03′W
27°22′S 70°20′W
41°48′N 129°47′E
20°10′S 57°30′E
52°23′N 4°38′E
41°09′S 71°18′W
10°11′S 48°20′W
32°47′N 130°44′E
49°37′N 6°07′E
12°46′S 15°44′E
43°50′N 87°36′E
54°43′N 20°31′E
69°54′N 27°01′E
2°49′N 60°40′W
22°28′S 68°56′W
49°15′N 123°06′W
8°50′S 13°14′E
3°51′S 32°25′W
13°50′S 171°45′W
19°45′N 96°06′E
33°41′S 53°27′W
36°11′N 115°08′W
65°50′N 24°08′E
12°37′N 87°09′W
36°11′N 44°01′E
5°58′N 116°06′E
42°42′N 23°20′E
38°11′N 15°33′E
18°08′S 178°27′E
70°05′N 27°53′E
31°57′S 115°52′E
37°23′N 5°59′W
4°45′N 7°00′E
6°10′S 39°12′E
28°38′N 106°05′W
50°38′N 3°03′E
52°08′N 106°41′W
47°08′N 9°31′E
61°08′N 10°26′E
47°16′N 11°23′E
62°15′N 25°45′E
15°38′N 32°32′E
14°38′N 121°02′E
10°24′N 75°30′W
33°39′N 86°49′W
38°29′N 27°13′W
8°46′S 63°54′W
42°21′N 71°04′W
51°23′N 2°22′W
39°57′N 75°10′W
59°57′N 10°45′E
31°38′S 60°42′W
30°15′N 120°10′E
1°17′N 103°50′E
39°59′N 82°59′W
37°34′N 126°59′E
8°03′S 34°54′W
8°29′N 13°14′W
2°32′S 44°18′W
38°15′N 140°20′E
36°40′N 116°59′E
40°45′N 111°53′W
54°36′N 5°56′W
52°13′N 6°54′E
31°56′N 35°56′E
2°11′S 79°53′W
14°21′N 100°34′E
65°51′N 24°09′E
33°35′N 130°24′E
4°24′N 114°00′E
24°09′N 120°40′E
33°27′N 112°04′W
34°26′N 119°43′W
32°51′S 27°26′E
14°54′N 92°16′W
3°09′N 101°42′E
47°28′N 19°03′E
43º32′N 5º42′W
34°11′N 131°28′E
17°01′N 54°05′E
5°33′N 95°19′E
35°11′N 136°54′E
14°47′S 39°03′W
68°58′N 33°05′E
8°17′S 35°59′W
78°13′N 15°39′E
22°49′N 108°19′E
21°11′S 47°48′W
46°28′N 30°44′E
4°36′N 101°04′E
50°54′N 1°24′W
36°50′S 174°44′E
7°18′N 80°38′E
25°02′N 121°38′E
26°38′N 92°48′E
35°40′N 105°58′W
22°19′S 49°04′W
13°17′S 176°11′W
46°32′N 84°21′W
9°23′S 179°51′E
22°54′S 47°03′W
13°41′N 89°11′W
24°28′N 39°36′E
29°54′S 71°15′W
43°36′N 1°27′E
37°52′N 112°34′E
3°35′N 98°40′E
44°30′N 11°21′E
18°48′N 99°00′E
39°39′S 176°50′E
15°48′S 47°52′W
5°52′N 55°10′W
22°53′N 109°55′W
12°58′N 77°34′E
0°32′N 101°27′E
54°59′N 73°22′E
34°43′N 136°30′E
26°17′N 50°12′E
44°49′N 20°28′E
16°24′S 71°32′W
50°00′N 36°14′E
20°48′S 49°23′W
56°20′N 44°00′E
7°01′N 100°28′E
7°24′N 3°55′E
40°27′N 80°00′W
12°08′N 86°15′W
48°13′N 16°22′E
60°18′N 25°02′E
50°57′N 6°58′E
4°36′N 74°05′W
33°16′N 130°18′E
63°24′S 56°59′W
26°29′S 31°22′E
24°39′S 25°55′E
51°40′N 39°13′E
39°15′N 9°03′E
15°18′N 61°23′W
39°34′N 2°39′E
39°01′N 125°44′E
36°02′N 103°48′E
15°25′S 28°17′E
21°19′N 157°50′W
25°04′N 77°20′W
21°25′N 39°49′E
3°44′S 73°15′W
50°07′N 8°41′E
62°01′N 6°46′W
3°45′N 8°47′E
67°18′N 14°33′E
30°02′S 51°14′W
36°23′N 139°04′E
18°31′N 73°51′E
43°18′N 5°22′E
12°00′N 8°31′E
52°38′N 1°18′E
52°29′N 1°54′W
21°33′N 39°10′E
0°03′N 32°28′E
15°21′N 44°12′E
42°55′N 143°12′E
39°28′N 0°23′W
34°05′N 74°47′E
39°46′N 86°09′W
14°33′N 121°02′E
12°58′S 38°29′W
44°20′N 23°49′E
34°01′N 71°35′E
65°35′N 22°09′E
36°36′N 114°29′E
35°54′N 14°28′E
29°58′N 90°03′W
51°37′N 3°57′W
36°51′N 75°59′W
40°51′N 14°16′E
1°57′S 30°04′E
46°31′N 6°38′E
19°55′S 43°56′W
17°30′N 88°11′W
38°16′N 140°52′E
23°33′S 46°38′W
35°31′N 35°47′E
46°47′N 56°11′W
8°53′S 36°30′W
39°47′N 30°31′E
56°07′N 101°36′E
36°08′N 95°56′W
41°05′N 85°08′W
41°54′N 12°27′E
27°28′N 89°39′E
28°09′N 15°25′W
34°44′N 10°46′E
18°29′S 70°20′W
54°41′N 25°17′E
10°17′N 61°28′W
35°11′N 129°05′E
50°49′N 1°05′W
7°04′N 125°36′E
35°07′N 89°58′W
29°58′N 32°33′E
32°55′S 151°45′E
13°10′S 74°13′W
27°50′S 48°25′W
17°59′N 76°48′W
45°25′N 75°41′W
30°12′N 71°28′E
54°56′S 67°37′W
46°03′N 14°31′E
36°20′N 43°08′E
12°03′N 61°45′W
6°12′S 106°48′E
31°44′N 106°29′W
17°51′S 25°52′E
0°15′S 78°35′W
37°52′N 32°29′E
7°05′S 34°50′W
36°38′N 138°11′E
5°08′S 119°25′E
5°06′S 42°48′W
0°19′N 32°35′E
32°47′N 79°56′W
31°51′N 116°36′W
24°52′N 67°01′E
51°38′S 69°13′W
35°01′N 135°51′E
26°13′N 127°41′E
64°51′N 147°43′W
25°34′N 91°53′E
22°17′S 166°27′E
1°17′S 36°49′E
39°10′N 75°32′W
46°49′N 100°47′W
45°17′N 66°05′W
3°40′S 40°14′W
29°25′N 98°30′W
44°26′N 26°06′E
4°03′N 9°42′E
34°59′N 138°23′E
32°39′N 16°55′W
41°28′S 72°56′W
51°54′N 8°28′W
43°00′N 41°01′E
6°49′N 5°17′W
14°50′N 91°31′W
16°40′S 49°15′W
0°02′N 51°04′W
65°20′N 21°30′E
32°03′N 118°46′E
41°49′N 71°25′W
21°10′N 72°50′E
52°14′N 21°01′E
29°16′N 88°53′E
51°32′N 46°01′E
3°42′S 128°10′E
9°31′S 147°13′E
35°54′N 14°31′E
10°40′N 61°31′W
8°29′N 76°57′E
32°57′S 60°40′W
22°22′N 91°48′E
35°20′N 25°08′E
29°39′N 91°06′E
19°18′N 81°23′W
57°09′N 4°07′W
31°55′N 131°25′E
43°03′N 87°57′W
53°31′N 49°25′E
29°07′S 26°13′E
24°38′N 46°43′E
50°43′N 3°32′W
54°47′N 9°26′E
43°51′N 18°21′E
29°37′S 30°23′E
30°15′N 97°45′W
46°29′N 81°01′W
32°43′N 117°10′W
34°36′S 58°23′W
67°33′N 133°23′E
9°58′N 84°50′W
13°31′N 144°50′E
19°42′N 155°05′W
19°03′S 65°15′W
17°52′S 31°02′E
16°26′N 102°50′E
33°43′N 73°04′E
43°42′N 79°24′W
62°54′N 27°41′E
18°56′S 47°31′E
42°26′N 19°16′E
58°10′N 8°00′E
22°40′S 50°25′W
35°42′N 51°25′E
11°52′S 55°30′W
43°17′N 76°54′E
16°30′S 180°00′W
30°42′N 88°03′W
29°06′N 110°57′W
64°32′N 40°32′E
10°17′N 123°54′E
69°41′N 18°57′E
28°25′N 81°18′W
17°18′N 62°44′W
31°31′N 34°27′E
59°34′N 150°48′E
26°56′N 75°49′E
50°51′N 4°21′E
43°37′N 116°12′W
59°26′N 24°45′E
50°27′N 104°36′W
60°23′N 5°20′E
25°28′S 30°59′E
11°35′N 43°09′E
46°57′N 7°27′E
25°25′S 49°15′W
52°38′N 1°08′W
13°32′S 71°58′W
26°19′S 31°08′E
6°40′N 1°37′W
50°22′N 4°09′W
38°45′S 72°40′W
26°25′S 31°10′E
35°07′N 106°37′W
46°08′N 64°46′W
3°06′S 60°01′W
31°46′S 52°21′W
25°47′N 80°13′W
22°10′N 113°33′E
35°40′N 138°34′E
25°41′N 32°39′E
37°56′N 58°22′E
41°17′S 174°47′E
41°46′N 72°40′W
23°08′N 82°23′W
42°30′N 1°30′E
35°31′N 139°42′E
38°59′N 1°26′E
35°36′N 140°06′E
27°09′N 13°12′W
54°09′N 4°29′W
12°07′N 15°03′E
50°50′N 0°09′W
19°03′N 98°13′W
28°37′N 77°13′E
76°25′N 82°54′W
40°01′N 105°17′W
34°03′N 118°15′W
41°01′N 28°57′E
3°52′N 11°31′E
28°45′S 24°46′E
40°49′N 140°45′E
25°04′N 102°41′E
36°22′N 140°28′E
4°03′S 39°40′E
18°51′S 41°56′W
36°18′N 59°36′E
66°43′N 27°26′E
25°37′N 85°09′E
28°01′S 153°24′E
9°58′N 76°17′E
12°03′S 77°02′W
29°04′S 167°58′E
53°32′N 113°30′W
34°41′N 135°48′E
13°16′N 16°39′W
25°04′S 130°06′W
70°59′N 25°59′E
69°20′N 88°13′E
34°39′N 133°55′E
24°28′N 54°22′E
17°22′N 78°29′E
32°38′N 51°39′E
43°32′S 172°37′E
45°49′N 15°59′E
44°15′N 72°34′W
36°48′N 10°11′E
7°54′N 72°30′W
